name,description,website
Nhà Xuất Bản Công Thương,"NXB trực thuộc Bộ Công Thương. Chuyên xuất bản các tài liệu về kinh tế, thương mại, công nghiệp, thị trường, chính sách quản lý nhà nước về công thương nghiệp, và các sách về khởi nghiệp, quản trị, kỹ thuật công nghiệp.",https://nxbcongthuong.vn/
Nhà Xuất Bản Dân Trí,"NXB có lĩnh vực xuất bản rộng, bao gồm: văn hóa, xã hội, giáo dục, văn học, lịch sử, và đặc biệt là sách phục vụ giới trẻ (kỹ năng sống, sách truyền cảm hứng, tiểu thuyết). Hướng đến đối tượng độc giả đại chúng.",https://nxbdantri.com.vn/
Nhà Xuất Bản Giáo Dục Việt Nam,Nhà xuất bản Giáo dục Việt Nam (tên đầy đủ là Công ty Trách nhiệm hữu hạn một thành viên Nhà xuất bản Giáo dục Việt Nam) là một nhà xuất bản và là Doanh nghiệp nhà nước trực thuộc Bộ Giáo dục và Đào tạo. Nhà xuất bản Giáo dục Việt Nam có nhiều chi nhánh và công ty con trên toàn quốc....,https://www.nxbgd.vn/
Nhà Xuất Bản Hà Nội,"NXB thuộc Ủy ban Nhân dân thành phố Hà Nội. Chuyên xuất bản các ấn phẩm về Hà Nội (lịch sử, văn hóa, kiến trúc, danh nhân, địa lý, chính trị, kinh tế xã hội của Thủ đô). Đồng thời xuất bản các sách phổ thông khác phục vụ công chúng.",https://sachdientu.nxbhanoi.com.vn/
Nhà Xuất Bản Hồng Đức,"NXB trực thuộc Hội Xuất bản Việt Nam. Lĩnh vực xuất bản đa dạng, tập trung vào các mảng: Văn hóa, Lịch sử, Giáo dục, Văn học, Y học và Sách phổ thông phục vụ nhu cầu tri thức và giải trí của cộng đồng.",https://nhaxuatbanhongduc.com.vn/
Nhà Xuất Bản Hội Nhà Văn,"Nhà xuất bản Hội nhà văn là một nhà xuất bản nhà nước của Việt Nam được thành lập vào năm 1957, có trụ sở hiện nay đóng tại 65, Nguyễn Du, phường Cửa Nam, Hà Nội và chủ sở hữu là Hội nhà văn Việt Nam. Sản phẩm chủ yếu là nhà xuất bản là sách đa dạng các thể loại (tiểu thuyết, nghiên cứu, thơ...) và báo chí....",
Nhà Xuất Bản Khoa Học Xã Hội,"NXB trực thuộc Viện Hàn lâm Khoa học xã hội Việt Nam (VASS). Chuyên xuất bản các ấn phẩm nghiên cứu chuyên sâu và tài liệu về khoa học xã hội và nhân văn (Triết học, Lịch sử, Dân tộc học, Khảo cổ học, Ngôn ngữ học, Văn học, Kinh tế học, Xã hội học, v.v.). Đây là nơi ấn hành nhiều công trình nghiên cứu hàn lâm có giá trị.",https://nxbkhxh.vass.gov.vn
Nhà Xuất Bản Khoa học và Kỹ thuật,"Nhà xuất bản Khoa học và Kỹ thuật (tiếng Anh: Science and Technics Publishing House) thành lập năm 1960 tại Việt Nam theo quyết định số 185-KHH/QĐ (ngày 09 tháng 6 năm 1960) của Ủy ban khoa học nhà nước. Nhà xuất bản là đơn vị trực thuộc Bộ Khoa học và Công nghệ, chuyên xuất bản các ấn phẩm về khoa học và công nghệ. Nhà xuất bản là một đơn vị công lập, có tư cách pháp nhân, tự chủ một phần chi phí, tự chịu trách nhiệm theo quy định tại Nghị định số 43/2006/NĐ-CP về quyền tự chủ. Trụ sở chính của...",
Nhà Xuất Bản Kim Đồng,"Nhà xuất bản Kim Đồng là nhà xuất bản chuyên về sách văn học thiếu nhi của Việt Nam được thành lập vào ngày 17 tháng 6 năm 1957 tại Hà Nội. Ngoài ra, Kim Đồng còn hợp tác với hơn 70 nhà xuất bản trên thế giới có thể kể đến như Dorling Kindersley, HarperCollins UK, Simon and Schuster UK, Dami International, Shogakukan, Kodansha, Shuiesha, Square Enix, nhà xuất bản Seoul và nhà xuất bản Neung-In (Hàn Quốc). Hiện nay, nhà xuất bản Kim Đồng có trụ sở chính ở Hà Nội cùng hai chi nhánh đặt tại Đà Nẵng...",http://www.nxbkimdong.com.vn
Nhà Xuất Bản Kinh Tế TPHCM,"NXB trực thuộc Ủy ban Nhân dân Thành phố Hồ Chí Minh. Chuyên xuất bản các ấn phẩm về kinh tế, tài chính, quản trị kinh doanh, thương mại, thị trường, khởi nghiệp, các tài liệu nghiên cứu và sách giáo trình kinh tế.",https://nhasachkinhte.vn/
Nhà Xuất Bản Lao Động,"NXB trực thuộc Tổng Liên đoàn Lao động Việt Nam. Chuyên xuất bản các ấn phẩm về pháp luật, công đoàn, quyền lợi người lao động, lịch sử phong trào công nhân, sách văn học, sách phổ thông và sách phục vụ công tác của tổ chức Công đoàn.",https://nxblaodong.com.vn/
Nhà Xuất Bản Lao Động - Xã Hội,"NXB trực thuộc Bộ Lao động - Thương binh và Xã hội. Chuyên xuất bản các ấn phẩm về chính sách xã hội, việc làm, tiền lương, bảo hiểm xã hội, giáo dục nghề nghiệp, phòng chống tệ nạn xã hội, và các vấn đề liên quan đến đời sống, an sinh xã hội.",
Nhà Xuất Bản Mỹ Thuật,"NXB trực thuộc Bộ Văn hóa, Thể thao và Du lịch. Chuyên xuất bản các ấn phẩm về Mỹ thuật, Nhiếp ảnh, Kiến trúc, Thiết kế, Nghệ thuật tạo hình, album tranh, sách lý luận và phê bình mỹ thuật, và các sách giới thiệu tác phẩm nghệ thuật Việt Nam và thế giới.",
Nhà Xuất Bản Nông Nghiệp,"Nhà xuất bản Nông nghiệp là một nhà xuất bản tại Việt Nam, chuyên xuất bản sách cho đối tượng độc giả là nông dân và cán bộ ngành nông nghiệp....",
Nhà Xuất Bản Phương Đông,"NXB tư nhân, hoạt động đa dạng trong nhiều lĩnh vực: Kinh doanh, Pháp luật, Văn học, Giáo dục, Sách phổ thông và Thiếu nhi. Thường xuất bản các ấn phẩm phục vụ nhu cầu đọc rộng rãi của công chúng.",
Nhà Xuất Bản Phụ Nữ Việt Nam,"NXB trực thuộc Hội Liên hiệp Phụ nữ Việt Nam. Chuyên xuất bản các ấn phẩm về phụ nữ, gia đình, bình đẳng giới, kỹ năng sống, nuôi dạy con cái, sức khỏe, sắc đẹp, và văn học (tiểu thuyết, tản văn). Góp phần nâng cao kiến thức và vị thế của phụ nữ trong xã hội.",https://nxbphunu.com.vn/
Nhà Xuất Bản Quân Đội Nhân Dân,"Nhà xuất bản Quân đội nhân dân trực thuộc Tổng cục Chính trị, Bộ Quốc phòng Việt Nam thành lập ngày 11 tháng 7 năm 1950 là cơ quan xuất bản tổng hợp chuyên ngành quân sự của Đảng ủy Quân sự Trung ương (Nay là Quân ủy Trung ương) và Bộ Quốc phòng, trung tâm xuất bản của toàn quân do Tổng cục Chính trị trực tiếp chỉ đạo, đồng thời là một thành viên quan trọng trong hệ thống xuất bản của Nhà nước, chịu trách nhiệm xuất bản sách phát hành rộng rãi và phục vụ nội bộ quân đội....",
Nhà Xuất Bản Thanh Niên,"NXB trực thuộc Trung ương Đoàn TNCS Hồ Chí Minh. Chuyên xuất bản sách phục vụ thanh thiếu niên, bao gồm: giáo dục lý tưởng, kỹ năng sống, tâm lý, khoa học thường thức, sách lịch sử truyền thống và văn học.",
Nhà Xuất Bản Thông Tin Và Truyền Thông,"NXB trực thuộc Bộ Thông tin và Truyền thông. Chuyên xuất bản sách về công nghệ thông tin, viễn thông, báo chí, xuất bản, truyền thông, và chuyển đổi số, phục vụ công tác quản lý và phát triển ngành.",
Nhà Xuất Bản Thông Tấn,"NXB trực thuộc Thông tấn xã Việt Nam (TTXVN). Chuyên xuất bản các ấn phẩm mang tính thời sự, chính trị, thông tin đối ngoại, và các sách ảnh, sách tư liệu, sách lịch sử về đất nước, con người Việt Nam.",https://sachthongtan.vn/
Nhà Xuất Bản Thể Thao Và Du Lịch,"NXB trực thuộc Bộ Văn hóa, Thể thao và Du lịch. Chuyên xuất bản sách về thể thao, rèn luyện sức khỏe, du lịch, văn hóa địa phương, cẩm nang khám phá, và các ấn phẩm tuyên truyền về hoạt động thể thao, du lịch Việt Nam.",
Nhà Xuất Bản Thời Đại,"NXB hoạt động đa dạng trong nhiều lĩnh vực: Văn học, Lịch sử, Kinh tế, Giáo dục và Sách phổ thông phục vụ công chúng.",
Nhà Xuất Bản Tri Thức,"NXB trực thuộc Liên hiệp các Hội Khoa học và Kỹ thuật Việt Nam (VUSTA). Chuyên xuất bản các ấn phẩm khoa học, triết học, kỹ thuật, giáo dục, với mục tiêu truyền bá tri thức khoa học, phổ cập khoa học và công nghệ.",https://nxbtrithuc.com.vn/
Nhà Xuất Bản Tài Chính,"NXB trực thuộc Bộ Tài chính. Chuyên xuất bản các tài liệu về tài chính, ngân sách, thuế, hải quan, kế toán, kiểm toán, bảo hiểm và các văn bản pháp luật, chính sách thuộc lĩnh vực tài chính.",https://nxbtaichinh.vn/
Nhà Xuất Bản Tôn Giáo,"NXB trực thuộc Ban Tôn giáo Chính phủ. Chuyên xuất bản các ấn phẩm về chính sách tôn giáo, lịch sử tôn giáo, đạo đức, văn hóa các tôn giáo tại Việt Nam, phục vụ công tác quản lý nhà nước về tôn giáo.",
Nhà Xuất Bản Tư Pháp,"NXB trực thuộc Bộ Tư pháp. Chuyên xuất bản các ấn phẩm về pháp luật, luật học, cải cách tư pháp, công chứng, luật sư, thi hành án, và các văn bản quy phạm pháp luật.",https://nxbtuphap.moj.gov.vn/Pages/Home.aspx
Nhà Xuất Bản Văn Hoá Dân Tộc,"NXB trực thuộc Ủy ban Dân tộc. Chuyên xuất bản các ấn phẩm về văn hóa, lịch sử, phong tục tập quán, ngôn ngữ các dân tộc thiểu số Việt Nam, nhằm bảo tồn và phát huy bản sắc văn hóa dân tộc.",https://nxbvanhoadantoc.vn/home
Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,"NXB trực thuộc Ủy ban Nhân dân Thành phố Hồ Chí Minh. Chuyên xuất bản các ấn phẩm về văn hóa, văn học, nghệ thuật, kịch bản sân khấu, âm nhạc, điện ảnh, và các công trình nghiên cứu, sưu tầm về văn hóa Sài Gòn - TP.HCM.",https://thuviensachhochiminh.tphcm.gov.vn/nha-xuat-ban-van-hoa-van-nghe
Nhà Xuất Bản Văn Học,"NXB trực thuộc Hội Nhà văn Việt Nam. Chuyên xuất bản các ấn phẩm văn học (tiểu thuyết, thơ, truyện ngắn, phê bình văn học) của các tác giả Việt Nam và nước ngoài, từ kinh điển đến đương đại.",https://nxbvanhoc.com.vn/
Nhà Xuất Bản Văn Nghệ,"Nhà xuất bản Văn Nghệ Thành phố Hồ Chí Minh từng là một đơn vị chuyên xuất bản các loại sách về văn học - nghệ thuật có trụ sở tại Thành phố Hồ Chí Minh. Trong 30 năm hoạt động, Nhà xuất bản Văn Nghệ thành phố Hồ Chí Minh đã xuất bản hàng chục ngàn đầu sách văn học trong nước, văn học nước ngoài, văn học thiếu nhi và sách về các ngành nghệ thuật như: âm nhạc, mỹ thuật, nhiếp ảnh, điện ảnh, sân khấu, kiến trúc... Với những tác phẩm văn học nghệ thuật đã xuất bản, Nhà xuất bản đã tạo được dấu ấn s...",
Nhà Xuất Bản Xây Dựng,"NXB trực thuộc Bộ Xây dựng. Chuyên xuất bản các ấn phẩm về kiến trúc, quy hoạch, vật liệu xây dựng, tiêu chuẩn, quy chuẩn, định mức kỹ thuật, các giáo trình và tài liệu nghiên cứu chuyên ngành xây dựng, và sách về nhà ở, phong thủy.",https://nxbxaydung.com.vn/
Nhà Xuất Bản Y học,"Nhà xuất bản Y học, tên đầy đủ là Công ty TNHH một thành viên Nhà xuất bản Y học, là nhà xuất bản các tài liệu và sách về y học. Nhà xuất bản có tên giao dịch bằng tiếng Anh là Medical Publshing House, thể đầy đủ là Medical Publishing House one member Company Limited, viết tắt MPH Co., LTD. Nhà xuất bản Y học được thành lập theo Quyết định số 906-BYT/HL ngày 31 tháng 10 năm 1959. Nhà xuất bản Y học là một đơn vị trực thuộc Bộ Y tế. Nhà xuất bản có trụ sở tại địa chỉ số 352, phố Đội Cấn, phường C...",
Nhà Xuất Bản Đà Nẵng,"NXB trực thuộc Ủy ban Nhân dân thành phố Đà Nẵng. Chuyên xuất bản các ấn phẩm về Đà Nẵng (lịch sử, văn hóa, kinh tế, xã hội, du lịch) và các sách phổ thông khác phục vụ công chúng khu vực miền Trung.",https://nxbdanang.vn/
Nhà Xuất Bản Đại Học Huế,"NXB trực thuộc Đại học Huế. Chuyên xuất bản các giáo trình, sách tham khảo, tài liệu nghiên cứu khoa học, và các công trình học thuật của các trường thành viên thuộc Đại học Huế.",https://huph.hueuni.edu.vn/
Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,"NXB trực thuộc Trường Đại học Kinh tế Quốc dân (NEU). Chuyên xuất bản các ấn phẩm về kinh tế, quản trị kinh doanh, tài chính, kế toán, ngân hàng, sách chuyên khảo, giáo trình và tài liệu học thuật.",https://nxb.neu.edu.vn/
Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,"NXB trực thuộc Đại học Quốc gia Hà Nội (VNU). Chuyên xuất bản giáo trình, sách tham khảo, công trình nghiên cứu đa ngành (Khoa học tự nhiên, Khoa học xã hội, Ngoại ngữ, Công nghệ) phục vụ hệ thống các trường thành viên.",https://vnupress.edu.vn/trang-chu
Nhà Xuất Bản Đại Học Sư Phạm,"NXB trực thuộc Trường Đại học Sư phạm Hà Nội. Chuyên xuất bản sách giáo khoa, sách giáo trình, tài liệu bồi dưỡng, sách tham khảo cho giáo viên và sinh viên ngành Sư phạm (từ mầm non đến phổ thông), nghiên cứu khoa học giáo dục.",https://nxbdhsp.edu.vn/trang-chu
Nhà Xuất Bản Đại Học Sư Phạm TPHCM,"NXB trực thuộc Trường Đại học Sư phạm TP.HCM (HCMUE). Tương tự như NXB Đại học Sư phạm Hà Nội, đơn vị này tập trung xuất bản các ấn phẩm về giáo dục, tâm lý, sách chuyên môn, giáo trình phục vụ đào tạo và nghiên cứu trong lĩnh vực Sư phạm.",https://nxbdsh.vn/
Nhà Xuất Bản Đồng Nai,"NXB trực thuộc Ủy ban Nhân dân tỉnh Đồng Nai. Chuyên xuất bản các ấn phẩm về lịch sử, văn hóa, kinh tế, xã hội, và các tài liệu tuyên truyền phục vụ địa phương tỉnh Đồng Nai, cũng như sách phổ thông.",https://nxbdongnai.vn/
Đang cập nhật,,
