name,biography,photo,birth_date,death_date,nationality
Akutagawa Ryunosuke,"Nhà văn cận đại Nhật Bản, 'cha đẻ' của truyện ngắn Nhật Bản hiện đại. Giải thưởng văn học Akutagawa danh giá được đặt theo tên ông.",,,1927-07-24,Nhật Bản
Al Switzler,"Doanh nhân, diễn giả và đồng tác giả của các cuốn sách bán chạy như 'Crucial Conversations' (Những cuộc đàm phán quyết định).",,,,Hoa Kỳ
Alain Bergala,"Nhà phê bình điện ảnh, đạo diễn và giảng viên người Pháp. Từng là tổng biên tập tạp chí Cahiers du cinéma.",,1943-08-09,,Pháp
Alain de Botton,"Nhà văn, triết gia người Thụy Sĩ gốc Anh. Tác phẩm của ông thường bàn về các vấn đề đương đại dưới góc nhìn triết học đời thường.",,1969-12-20,,Thụy Sĩ
Alan Phan,"Tiến sĩ, doanh nhân và nhà bình luận kinh tế nổi tiếng người Mỹ gốc Việt. Ông từng là giảng viên thỉnh giảng và viết nhiều sách về kinh tế.",,1945-07-08,2015-10-19,Việt Nam
Albert Camus,"Nhà văn, triết gia người Pháp, đoạt giải Nobel Văn học năm 1957. Ông nổi tiếng với các tác phẩm về chủ nghĩa phi lý như 'Người xa lạ'.",,1913-07-11,1960-04-01,Pháp
Albert Einstein,"Nhà vật lý lý thuyết người Đức, cha đẻ của thuyết tương đối. Một trong những nhà khoa học vĩ đại nhất lịch sử nhân loại.",,,1955-04-18,Đức
Albert Rutherford,"Nhà nghiên cứu và tác giả viết về tư duy hệ thống, lý thuyết trò chơi và giải quyết vấn đề phức tạp.",,,,Hoa Kỳ
Alena Mornštajnová,Nhà văn và dịch giả người Séc. Bà nổi tiếng với các tiểu thuyết lịch sử và đời sống xã hội.,,1963-06-24,,Séc
Alex Frith,"Tác giả sách thiếu nhi người Anh, làm việc tại nhà xuất bản Usborne. Ông chuyên viết sách kiến thức khoa học vui cho trẻ em.",,,,Vương quốc Liên hiệp Anh và Bắc Ireland
Alex Genadinik,"Doanh nhân, huấn luyện viên kinh doanh và tác giả sách best-seller về marketing và khởi nghiệp.",,,,Hoa Kỳ
Alex Goldfayn,Chuyên gia tư vấn bán hàng và diễn giả quốc tế. Tác giả của các cuốn sách về tăng trưởng doanh thu và kỹ năng bán hàng.,,,,Hoa Kỳ
Alex Rovira,"Doanh nhân, nhà văn, nhà kinh tế học người Tây Ban Nha. Tác giả của cuốn sách nổi tiếng 'Bí mật của may mắn'.",,1969-01-03,,Tây Ban Nha
Alexandra David Neel,"Nhà thám hiểm, nhà văn và Phật tử người Pháp. Bà nổi tiếng với chuyến đi đến Lhasa, Tây Tạng vào năm 1924.",,,1969-08-09,Pháp
Alfred Adler,"Bác sĩ, chuyên gia tâm thần học người Áo, người sáng lập trường phái tâm lý học cá nhân.",,,1937-05-28,Áo
Alice Yang,"Nhà sử học nghệ thuật và giám tuyển người Mỹ gốc Đài Loan, chuyên về nghệ thuật người Mỹ gốc Á.",,1961-01-01,1997-01-01,Đài Loan
Alla Svirinskaya,"Chuyên gia chữa lành bằng năng lượng người Nga, tác giả các cuốn sách về sức khỏe toàn diện và y học năng lượng.",,1970-01-01,,Nga
Allan Pease,"Chuyên gia ngôn ngữ cơ thể người Úc, đồng tác giả của nhiều cuốn sách bán chạy về giao tiếp và quan hệ nhân sự.",,1952-01-01,,Úc
Alpha Books biên soạn,"Đội ngũ biên tập của công ty sách Alpha Books, chuyên về các dòng sách quản trị, kinh tế và kỹ năng.",,,,Việt Nam
An Guang-hyun,"Tác giả người Hàn Quốc, chuyên viết sách về kỹ năng sống và phát triển bản thân.",,,,Hàn Quốc
Andrea Driessen,"Tác giả và chuyên gia tổ chức sự kiện, nổi tiếng với cuốn sách về cách tổ chức các cuộc họp hiệu quả và thú vị.",,,,Hoa Kỳ
Andrea Hirata,"Nhà văn Indonesia, tác giả của cuốn tiểu thuyết bán chạy 'Chiến binh cầu vồng' (Laskar Pelangi).",,1967-10-24,,Indonesia
Andreas Moritz,"Chuyên gia y học tự nhiên và tác giả người Đức, viết về các phương pháp làm sạch gan mật và sức khỏe toàn diện.",,1954-01-27,2012-10-21,Đức
Andrew Skilton,Học giả và dịch giả người Anh chuyên về lịch sử và văn học Phật giáo Nam Á và Đông Nam Á.,,1958-01-01,,Vương quốc Liên hiệp Anh và Bắc Ireland
André Aciman,"Nhà văn người Mỹ, giáo sư văn học. Tác giả của tiểu thuyết nổi tiếng 'Call Me by Your Name'.",,1951-02-01,,Hoa Kỳ
Angela Duckworth,"Nhà tâm lý học, giáo sư tại Đại học Pennsylvania. Tác giả cuốn sách 'Grit' (Vững tâm bền chí) về sự kiên trì.",,,1970-01-01,Hoa Kỳ
Anita Moorjani,Tác giả diễn giả người Singapore gốc Ấn. Nổi tiếng với cuốn hồi ký 'Dying to be Me' về trải nghiệm cận tử và sự chữa lành ung thư.,,1959-03-16,,SingaporeAnn Swanson
Anna Lembke,(En) Anna Lembke (sinh ngày 27 tháng 11 năm 1967) là một bác sĩ tâm thần người Mỹ chuyên về lĩnh vực y học nghiện. Bà là Trưởng phòng khám Chẩn đoán kép Y học Nghiện Stanford tại Đại học Stanford. Bà là chuyên gia về dịch bệnh opioid tại Hoa Kỳ và là tác giả của cuốn sách bán chạy 'Dopamine Nation'.,,1967-11-27,,Hoa Kỳ
Anne Taylor,"(En) Anne Taylor là một cái tên phổ biến, có thể ám chỉ nhiều nhân vật như nhà thơ, diễn viên, hoặc chính trị gia. Trong ngữ cảnh sách, có thể là nhà văn thiếu nhi người Anh Ann Taylor (1782–1866).",,,,Vương quốc Liên hiệp Anh và Bắc Ireland
Annette M.Kim,"(En) Annette M. Kim là Phó Giáo sư tại Trường Chính sách Công Price thuộc Đại học Nam California. Bà là Giám đốc của SLAB, Phòng thí nghiệm Phân tích Không gian.",,,,Hoa Kỳ
Annick Masson,Họa sĩ minh họa sách thiếu nhi người Bỉ. Bà nổi tiếng với những bức tranh minh họa đầy cảm xúc và hài hước trong các cuốn sách tranh.,,1969-04-26,,Bỉ
Annie Duke,(En) Annie Duke (sinh ngày 13 tháng 9 năm 1965) là cựu vận động viên poker chuyên nghiệp người Mỹ và là tác giả sách về khoa học quyết định hành vi nhận thức. Bà từng giành vòng tay vàng World Series of Poker năm 2004.,,1965-09-13,,Hoa Kỳ
Anthony Robbins,"Anthony Robbins (Tony Robbins) là tác giả, diễn giả, huấn luyện viên và nhà từ thiện người Mỹ. Ông nổi tiếng với các cuốn sách self-help như 'Đánh thức con người phi thường trong bạn'.",,1960-02-29,,Hoa Kỳ
Anthony William,"Anthony William, hay còn gọi là 'Medical Medium', là một tác giả người Mỹ chuyên viết về sức khỏe và dinh dưỡng dựa trên 'giao tiếp với linh hồn'.",,1949-11-15,,Hoa Kỳ
Antoine De Saint-Exupéry,"Nhà văn, phi công người Pháp. Tác giả của cuốn sách kinh điển 'Hoàng tử bé' (Le Petit Prince), một trong những tác phẩm văn học bán chạy nhất thế giới.",,1900-06-29,1944-07-31,Pháp
Aoyama Gosho,"Họa sĩ truyện tranh (mangaka) nổi tiếng người Nhật Bản, tác giả của bộ truyện tranh trinh thám đình đám 'Thám tử lừng danh Conan'.",,1963-06-21,,Nhật Bản
Aristotle,"Triết gia và nhà bác học Hy Lạp cổ đại, học trò của Plato và thầy dạy của Alexander Đại đế. Ông được coi là một trong những nhà tư tưởng vĩ đại nhất lịch sử phương Tây.",,,,Hy Lạp
Arthur C. Brooks,"(En) Arthur C. Brooks là một nhà khoa học xã hội, tác giả và giáo sư tại Đại học Harvard. Ông viết nhiều về chủ đề hạnh phúc, lãnh đạo và chính sách công.",,1964-05-21,,Hoa Kỳ
Arthur Schopenhauer,"Triết gia người Đức, nổi tiếng với tác phẩm 'Thế giới như là ý chí và biểu tượng'. Tư tưởng của ông ảnh hưởng lớn đến triết học, văn học và tâm lý học hiện đại.",,,,Đức
Asakura Akinari,Tác giả tiểu thuyết trinh thám và kịch bản manga người Nhật Bản. Nổi tiếng với các tác phẩm có cốt truyện logic chặt chẽ và bất ngờ.,,,,Nhật Bản
Ashlee Vance,"Nhà báo và tác giả người Mỹ, chuyên viết về công nghệ. Tác giả cuốn tiểu sử bán chạy nhất về Elon Musk.",,1977-01-01,,Hoa Kỳ
Astrid Carvel,"Tác giả chuyên viết về các chủ đề huyền bí, tâm linh và giải mã giấc mơ.",,,,Vương quốc Liên hiệp Anh và Bắc Ireland
Astrid Lindgren,"Nữ nhà văn Thụy Điển nổi tiếng thế giới với các tác phẩm văn học thiếu nhi, tiêu biểu là 'Pippi Tất Dài'.",,1907-11-14,2002-01-28,Thụy Điển
Astrid Sheckels,"Tác giả và họa sĩ minh họa sách tranh cho trẻ em người Mỹ, được biết đến với những bức tranh màu nước chi tiết và sống động.",,,,Hoa Kỳ
Atsuji Tetsuji,Nhà văn Nhật Bản.,,,,Nhật Bản
Austin Kleon,"Nhà văn và nghệ sĩ người Mỹ, tác giả của bộ ba cuốn sách bán chạy về sự sáng tạo: 'Steal Like an Artist', 'Show Your Work!', và 'Keep Going'.",,1983-06-16,,Hoa Kỳ
Avi Goldfarb,"Giáo sư Marketing tại Rotman School of Management, Đại học Toronto. Chuyên gia về kinh tế học kỹ thuật số và trí tuệ nhân tạo.",,,,Canada
Avinash K. Dixit,"Nhà kinh tế học người Mỹ gốc Ấn, Giáo sư danh dự tại Đại học Princeton. Tác giả của nhiều sách giáo khoa kinh tế học và lý thuyết trò chơi.",,1944-06-08,,Hoa Kỳ
Ayn Rand,"Nhà văn và triết gia người Mỹ gốc Nga, người sáng lập chủ nghĩa Khách quan (Objectivism). Tác giả của các tiểu thuyết triết học nổi tiếng như 'Suối nguồn' và 'Atlas Vươn mình'.",,1905-02-02,1982-06-03,Hoa Kỳ
Azby Brown,"Kiến trúc sư, nghệ sĩ và tác giả người Mỹ sống tại Nhật Bản. Ông viết nhiều sách về thiết kế, kiến trúc và lối sống truyền thống Nhật Bản.",,1956-01-01,,Hoa Kỳ
B.R.O,"Nhóm tác giả truyện tranh Việt Nam, nổi tiếng với các dự án chuyển thể tác phẩm văn học kinh điển và lịch sử thành truyện tranh (như 'Học sinh chân kinh').",,,,Việt Nam
BRUCE D.PERRY,(En) Bruce D. Perry là một bác sĩ tâm thần trẻ em và nhà thần kinh học người Mỹ. Ông là chuyên gia hàng đầu về tác động của chấn thương tâm lý đối với sự phát triển não bộ của trẻ em.,,,,Hoa Kỳ
BS Ngô Đức Hùng,"Bác sĩ Hồi sức cấp cứu tại Bệnh viện Bạch Mai, Giảng viên Đại học Y Hà Nội. Tác giả cuốn sách 'Để yên cho bác sĩ hiền' và trang Facebook nổi tiếng 'Hùng Ngô'.",,,,Việt Nam
BS Ray D.Strand,"Bác sĩ y khoa người Mỹ, chuyên gia về y học dinh dưỡng. Tác giả cuốn sách 'Y học dinh dưỡng: Những điều bác sĩ không nói với bạn'.",,,,Hoa Kỳ
BS. Lê Ngọc Anh Thy,"Chuyên gia tư vấn sữa mẹ quốc tế (IBCLC), tác giả các đầu sách hướng dẫn nuôi con bằng sữa mẹ khoa học.",,,,Việt Nam
BS. Trần Thị Huyên Thảo,"Bác sĩ Nhi khoa, tác giả bộ sách 'Bác sĩ riêng của bé yêu' cung cấp kiến thức chăm sóc sức khỏe trẻ em cho cha mẹ Việt.",,,,Việt Nam
BS.Peter J.D’Adamo,"Bác sĩ liệu pháp thiên nhiên người Mỹ, nổi tiếng với lý thuyết về chế độ ăn theo nhóm máu (Blood Type Diet).",,,,Hoa Kỳ
BS.Will Bulsiewicz,"Bác sĩ chuyên khoa tiêu hóa người Mỹ, tác giả cuốn sách bán chạy 'Fiber Fueled'. Ông nổi tiếng với các nghiên cứu về hệ vi sinh đường ruột và chế độ ăn dựa trên thực vật.",,,,Hoa Kỳ
Baird T Spalding,"Nhà văn người Mỹ, tác giả của bộ sách tâm linh kinh điển 'Hành trình về phương Đông' (Life and Teaching of the Masters of the Far East). Cuộc đời ông chứa đựng nhiều bí ẩn và giai thoại.",,,1953-03-18,Hoa Kỳ
Ban biên dịch thuộc Bộ môn Giải phẫu học - Khoa Y - Đại học Y dược Thành phố Hồ Chí Minh,"Nhóm các giảng viên, giáo sư, bác sĩ thuộc bộ môn Giải phẫu học của Đại học Y Dược TP.HCM, chịu trách nhiệm biên soạn giáo trình chuẩn cho sinh viên y khoa.",,,,Việt Nam
Barbara Constantine,"Nhà văn, nhà biên kịch người Pháp. Bà nổi tiếng với những cuốn tiểu thuyết nhẹ nhàng, hài hước và đầy tính nhân văn về tình cảm gia đình và người cao tuổi.",,1955-01-01,,Pháp
Barry J. Nalebuff,Giáo sư kinh tế và quản lý tại Đại học Yale. Chuyên gia về lý thuyết trò chơi và chiến lược kinh doanh. Đồng tác giả cuốn sách nổi tiếng 'Tư duy chiến lược'.,,1958-11-07,,Hoa Kỳ
Barry Nalebuff,Giáo sư kinh tế và quản lý tại Đại học Yale. Chuyên gia về lý thuyết trò chơi và chiến lược kinh doanh. Đồng tác giả cuốn sách nổi tiếng 'Tư duy chiến lược'.,,1958-11-07,,Hoa Kỳ
Becky Sheetz Runkle,Tác giả và diễn giả chuyên về các chủ đề tiếp thị chiến lược và lãnh đạo.,,,,Hoa Kỳ
Ben S. Bernanke,"Nhà kinh tế học người Mỹ, Chủ tịch Cục Dự trữ Liên bang Hoa Kỳ (FED) từ 2006-2014. Ông nhận giải Nobel Kinh tế năm 2022.",,1953-12-13,,Hoa Kỳ
Ben Sanders,"Nhà văn trinh thám người New Zealand, tác giả của các tiểu thuyết tội phạm ăn khách như 'American Blood' và 'Marshall's Law'.",,,,New Zealand
Benjamin Franklin,"Một trong những Người cha lập quốc của Hoa Kỳ. Ông là một chính trị gia, nhà khoa học, nhà văn, thợ in, triết gia, nhà phát minh, nhà hoạt động xã hội và nhà ngoại giao hàng đầu.",,,,Hoa Kỳ
Benjamin Hardy,"Tiến sĩ tâm lý học tổ chức, tác giả của các cuốn sách bán chạy về phát triển bản thân như 'Willpower Doesn't Work' và 'Personality Isn't Permanent'.",,,,Hoa Kỳ
Bertolt Brecht,"Nhà thơ, nhà soạn kịch, đạo diễn sân khấu người Đức. Ông là người sáng tạo ra thể loại kịch 'sân khấu sử thi' (Epic Theatre), có ảnh hưởng lớn đến nghệ thuật sân khấu thế giới.",,,1956-08-14,Đức
Bessatsu Takarajima,"Thương hiệu tạp chí và sách của nhà xuất bản Takarajima (Nhật Bản), chuyên về các chủ đề văn hóa đại chúng, bí ẩn và kiến thức xã hội.",,,,Nhật Bản
Beth Wood,"Chuyên gia tâm lý và tác giả sách về phát triển bản thân, chữa lành và vượt qua nghịch cảnh.",,,,Anh
Betty Smith,"Nhà văn, nhà viết kịch người Mỹ. Tác phẩm nổi tiếng nhất của bà là 'A Tree Grows in Brooklyn' (Cây lớn ở Brooklyn), một cuốn tiểu thuyết kinh điển về sự trưởng thành.",,,1972-01-17,Hoa Kỳ
Bill Bryson,"Nhà văn người Mỹ-Anh, nổi tiếng với các cuốn sách du ký hài hước và sách phổ biến kiến thức khoa học, ngôn ngữ. Tác giả của 'A Short History of Nearly Everything'.",,1951-08-12,,Hoa Kỳ
Bill Gates,"Nhà sáng lập Microsoft, tỷ phú, nhà từ thiện và tác giả người Mỹ. Ông viết nhiều sách về công nghệ, kinh doanh và các vấn đề toàn cầu như biến đổi khí hậu, dịch bệnh.",,1955-10-28,,Hoa Kỳ
Bill Schmarzo,"Được mệnh danh là 'Trưởng lão của Big Data' (Dean of Big Data). Ông là chuyên gia hàng đầu thế giới về Khoa học dữ liệu, AI và kinh tế học dữ liệu. Tác giả cuốn 'Big Data MBA'.",,1957-01-01,,Hoa Kỳ
Bizbooks biên soạn,"Đội ngũ biên tập của Bizbooks, thương hiệu sách chuyên về quản trị kinh doanh, kỹ năng làm việc và phát triển bản thân.",,,,Việt Nam
Blair Singer,"Chuyên gia đào tạo bán hàng hàng đầu thế giới, cố vấn của Robert Kiyosaki. Tác giả cuốn 'Vua Bán Hàng' (Sales Dogs) và chuyên gia về xây dựng đội nhóm.",,1955-08-18,,Hoa Kỳ
Blake Masters,"Doanh nhân, nhà đầu tư mạo hiểm người Mỹ. Đồng tác giả cuốn sách kinh doanh kinh điển 'Zero to One' (Không đến Một) cùng tỷ phú Peter Thiel.",,1986-05-08,,Hoa Kỳ
Bob Proctor,Huyền thoại trong lĩnh vực phát triển bản thân và Luật Hấp Dẫn. Tác giả cuốn 'You Were Born Rich' và là nhân vật chủ chốt trong phim 'The Secret'.,,1934-05-07,2022-03-02,Canada
Bob Tricker,Chuyên gia hàng đầu thế giới về Quản trị công ty (Corporate Governance). Ông được coi là cha đẻ của lĩnh vực này với nhiều đầu sách giáo khoa kinh điển.,,1933-01-01,,Anh
Bradley Hope,"Nhà báo điều tra từng đoạt giải thưởng, làm việc tại Wall Street Journal. Đồng tác giả cuốn sách nổi tiếng 'Billion Dollar Whale' (Vụ trộm tỷ đô).",,1980-01-01,,Hoa Kỳ
Brian Fagan,"Giáo sư danh dự về Nhân học tại Đại học California, Santa Barbara. Ông nổi tiếng với các cuốn sách phổ biến kiến thức về khảo cổ học và lịch sử khí hậu.",,1936-01-08,,Anh
Brian L Weiss,"Bác sĩ tâm thần, chuyên gia thôi miên hồi quy tiền kiếp. Tác giả cuốn sách 'Kiếp nào ta cũng tìm thấy nhau' (Only Love is Real).",,1944-06-11,,Hoa Kỳ
Brian L. Weiss,"Bác sĩ tâm thần, chuyên gia thôi miên hồi quy tiền kiếp. Tác giả cuốn sách 'Kiếp nào ta cũng tìm thấy nhau' (Only Love is Real).",,1944-06-11,,Hoa Kỳ
Brian P. Moran,"Doanh nhân, chuyên gia tư vấn quản trị. Tác giả cuốn sách 'The 12 Week Year' (Kế hoạch 12 tuần) giúp tối ưu hóa hiệu suất làm việc.",,1960-01-01,,Hoa Kỳ
Brian Tracy,"Diễn giả, tác giả và chuyên gia đào tạo người Mỹ gốc Canada. Ông là 'tượng đài' trong lĩnh vực phát triển bản thân, bán hàng và quản lý thời gian.",,1944-05-01,,Canada
Brian VanDeMark,Giáo sư Lịch sử tại Học viện Hải quân Hoa Kỳ. Ông chuyên nghiên cứu về Chiến tranh Việt Nam và lịch sử hạt nhân.,,1960-01-01,,Hoa Kỳ
Brianna Wiest,"Nhà văn, nhà thơ hiện đại. Tác giả của những cuốn sách chữa lành nổi tiếng như '101 Essays That Will Change The Way You Think'.",,1992-11-10,,Hoa Kỳ
Bruce Bryans,"Tác giả chuyên viết về tâm lý hẹn hò, sự hấp dẫn và nghệ thuật xây dựng mối quan hệ bền vững cho nam và nữ.",,,,Hoa Kỳ
Bruce D. Perry,"Bác sĩ tâm thần trẻ em, nhà thần kinh học. Ông là chuyên gia hàng đầu về tác động của chấn thương lên não bộ trẻ em, đồng tác giả cuốn 'What Happened to You?'.",,1955-06-05,,Hoa Kỳ
Bryce Leung,"Kỹ sư máy tính, đồng sáng lập trang Millennial Revolution. Tác giả cuốn sách về tự do tài chính 'Quit Like a Millionaire'.",,1982-01-01,,Canada
Bubu Huong,"Tác giả Việt Nam chuyên sáng tác và biên soạn truyện tranh giáo dục, kỹ năng sống cho trẻ em (Bộ sách Bubu).",,,,Việt Nam
Bubu Hương,"Tác giả Việt Nam chuyên sáng tác và biên soạn truyện tranh giáo dục, kỹ năng sống cho trẻ em (Bộ sách Bubu).",,,,Việt Nam
Burton G.Malkiel,"Nhà kinh tế học, Giáo sư Đại học Princeton. Tác giả cuốn sách đầu tư kinh điển 'Bước đi ngẫu nhiên trên phố Wall' (A Random Walk Down Wall Street).",,1932-08-28,,Hoa Kỳ
Bành Tử Ích,"Y gia nổi tiếng Trung Quốc thời Dân quốc, người sáng lập hệ phái Trung y mới. Tác phẩm tiêu biểu của ông là 'Viên vận động vật học'.",,,1949-01-01,Trung Quốc
Bác sĩ Carolyn Dean,"Bác sĩ y khoa, chuyên gia dinh dưỡng người Canada. Bà nổi tiếng với cuốn sách 'The Magnesium Miracle' (Sự kỳ diệu của Magie) và các nghiên cứu về y học tự nhiên.",,1947-01-01,,Canada
Bích Phương,"Ca sĩ, giám khảo truyền hình thực tế Việt Nam. Ngoài âm nhạc, cô còn tham gia viết sách và chia sẻ về phong cách sống.",,1989-09-30,,Việt Nam
Bùi Việt Hà,"Cựu hoa khôi, MC và hiện là chuyên gia giáo dục, nổi tiếng với các cuốn sách về nuôi dạy con cái và phát triển kỹ năng cho trẻ.",,,,Việt Nam
Bạch Lạc Mai,"Nữ văn sĩ, nhà thơ đương đại Trung Quốc. Văn phong của bà thanh thoát, đậm chất thiền, nổi tiếng với các tác phẩm tản văn như 'Gặp lại chốn hồng trần'.",,,,Trung Quốc
Bạch Tô,"Tác giả tiểu thuyết ngôn tình, đam mỹ nổi tiếng trên các diễn đàn văn học mạng Trung Quốc.",,,,Trung Quốc
Bảo Ninh,"Nhà văn Việt Nam, nổi tiếng toàn cầu với tiểu thuyết 'Nỗi buồn chiến tranh' (Giải thưởng Hội Nhà văn Việt Nam 1991).",,1952-10-18,,Việt Nam
Bồ Đề Đạt Ma,Tổ sư thiền tông Trung Hoa và là người sáng lập võ phái Thiếu Lâm. Ông là một nhân vật lịch sử và huyền thoại quan trọng trong Phật giáo.,,,,Ấn Độ
Bộ Giáo Dục Và Đào Tạo,"Cơ quan chính phủ chịu trách nhiệm quản lý nhà nước về giáo dục, biên soạn và phát hành hệ thống sách giáo khoa chuẩn tại Việt Nam.",,,,Việt Nam
C. Richard Weylman,"Diễn giả, chuyên gia tư vấn kinh doanh quốc tế. Ông chuyên viết về chiến lược nâng cao trải nghiệm khách hàng và phát triển doanh nghiệp.",,,,Hoa Kỳ
Cal Newport,Giáo sư khoa học máy tính tại Đại học Georgetown. Tác giả của những cuốn sách bestseller về năng suất và văn hóa số như 'Làm ra làm chơi ra chơi' (Deep Work).,,1982-06-23,,Hoa Kỳ
Cambridge,"Đội ngũ biên soạn, học giả thuộc Đại học Cambridge (Cambridge University Press & Assessment), chuyên xuất bản giáo trình tiếng Anh, sách giáo khoa và tài liệu học thuật hàng đầu thế giới.",,,,Vương quốc Liên hiệp Anh và Bắc Ireland
Camilo Cruz,"Tác giả, diễn giả người Mỹ gốc Colombia. Ông nổi tiếng toàn cầu với cuốn sách ngụ ngôn về sự thành công: 'Ngày xưa có một con bò'.",,1960-01-01,,Hoa Kỳ
Cao Chi,"Giáo sư vật lý lý thuyết nổi tiếng của Việt Nam. Ông viết nhiều sách chuyên khảo về vật lý hiện đại, vũ trụ học và thuyết hỗn độn.",,1931-01-01,,Việt Nam
Cao Huy Giu,"Dịch giả uy tín tại Việt Nam, chuyên chuyển ngữ các tác phẩm văn học và sách nghiên cứu.",,,,Việt Nam
Cao Minh,Tác giả/Doanh nhân Việt Nam (thông tin chi tiết đang cập nhật).,,,,Việt Nam
Cao Ngọc Vĩ,"Tác giả chuyên viết về các chủ đề kỹ năng sống, tâm lý hoặc giáo dục.",,,,Việt Nam
Cara Goodwin,"Tiến sĩ Tâm lý học trẻ em, chuyên gia nuôi dạy con cái. Bà là người sáng lập trang 'Parenting Translator', giúp cha mẹ áp dụng nghiên cứu khoa học vào thực tế.",,,,Hoa Kỳ
Carl Gustav Jung,"Carl Gustav Jung (phát âm tiếng Đức: [ˈkaːɐ̯l ˈɡʊstaf ˈjʊŋ]; 26 tháng 7 năm 1875 – 6 tháng 6 năm 1961) là một bác sĩ tâm thần học, nhà tâm lý học Thụy Sĩ. Nổi tiếng nhờ ông thành lập một trường phái tâm lý học mới có tên là tâm lý học phân tích (analytical psychology) nhằm phân biệt với trường phái phân tâm học (psychoanalysis) của Sigmund Freud. Và ngày nay có rất nhiều nhà tâm lý trị liệu chữa trị bệnh nhân theo phương pháp của ông. Phần lớn những điều được biết về cuộc đời của Jung được tìm thấy trong cuốn Tự Truyên của ông có tựa là Memories, Dreams, Reflections. Tuy không phải là người đầ...",,,1961-06-06,Thụy Sĩ
BS.Will Bulsiewicz,"Bác sĩ chuyên khoa tiêu hóa người Mỹ, tác giả cuốn sách bán chạy 'Fiber Fueled'. Ông nổi tiếng với các nghiên cứu về hệ vi sinh đường ruột và chế độ ăn dựa trên thực vật.",,,,Hoa Kỳ
Baird T Spalding,"Nhà văn người Mỹ, tác giả của bộ sách tâm linh kinh điển 'Hành trình về phương Đông' (Life and Teaching of the Masters of the Far East).",,,1953-03-18,Hoa Kỳ
Ban biên dịch thuộc Bộ môn Giải phẫu học - Khoa Y - Đại học Y dược Thành phố Hồ Chí Minh,"Nhóm các giảng viên, giáo sư, bác sĩ thuộc bộ môn Giải phẫu học của Đại học Y Dược TP.HCM, chịu trách nhiệm biên soạn giáo trình chuẩn cho sinh viên y khoa.",,,,Việt Nam
